"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-01-21","true","108","B09LNFRHGN","5","Phone is near perfect condition with a 99% battery.  Could not ask (or get) a better one.  Thanks!","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"","Great phone!","https://www.amazon.com/gp/customer-reviews/R2GJEXWMQ4RF1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 21, 2023","Service Provider: UnlockedColor: BlueSize: 256GB"
"United States","🇺🇸","2023-02-10","true","109","B09LNFRHGN","3","The product came with many scratches on the screen and I had to return it. As I bought excellent it should not have come like this.","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"","Excelent with an acceptable face","https://www.amazon.com/gp/customer-reviews/R1BFKIBELWL37O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on February 10, 2023","Service Provider: UnlockedColor: PinkSize: 256GB"
"United States","🇺🇸","2023-01-02","true","110","B09LNFRHGN","5","everything came in good shape, no scratches, 100% battery life.was a bit skeptical about buying it at first due to the mixed reviews but i went with my guts and bought the phone, best purchase yet.","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"One person found this helpful","would recommend!!","https://www.amazon.com/gp/customer-reviews/R1D57ASBG9BZ4F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 2, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States",,"2022-11-17","true","171","B09LNFRHGN","5","Great condition works perfectly fine battery life 97%",,,,,,,,,,,,,"","Good","https://www.amazon.com/gp/customer-reviews/R27YTWXVWZQVJ9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on November 17, 2022","Service Provider: UnlockedColor: RedSize: 128GB"
"United States",,"2022-10-01","true","172","B09LNFRHGN","5","En general todo esta perfecto, la duración de la batería es excelente me dura hasta más de 24 horas, lo uso todo el día. La cámara es justo lo que quería. Cumple totalmente.",,,,,,,,,,,,,"4 people found this helpful","Justo lo que esperaba!!","https://www.amazon.com/gp/customer-reviews/R2IPCMZT2ZGCQR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on October 1, 2022","Service Provider: UnlockedColor: RedSize: 128GB"
"United States",,"2022-12-01","true","173","B09LNFRHGN","5","everything is well",,,,,,,,,,,,,"","nice","https://www.amazon.com/gp/customer-reviews/R2H3J29OAHPJ1Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on December 1, 2022","Service Provider: UnlockedColor: BlueSize: 128GB"
"United States",,"2023-04-07","true","174","B09LNFRHGN","2","Hoy recibí mi paquete y no me reconoció el chip de los Estados Unidos y también de ecuador.",,,,,,,,,,,,,"","Teléfono no reconoce el chip y dice que es desbloqueado","https://www.amazon.com/gp/customer-reviews/R1W7T88HLBV5RG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on April 7, 2023","Service Provider: AT&TColor: BlueSize: 128GB"
"United States",,"2022-06-05","true","175","B09LNFRHGN","5","So, I Upgraded From The 6s Plus To This Phone & It Is Awesome. I Had Bought A Renewed 11 Pro Max But The Battery Health Was 87%. I Was Hesitant To Get This Phone Because I Didn’t Know What The Battery Health Would Be But It Is 100%! This Phone Is Dope! I Love It!!! If You’re Thinking About Getting It, I Recommend It! 😁",,,,,,,,,,,,,"2 people found this helpful","Great IPhone","https://www.amazon.com/gp/customer-reviews/RVFLEPT2SZVZU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on June 5, 2022","Service Provider: UnlockedColor: BlueSize: 128GB"
"United States",,"2022-11-09","true","176","B09LNFRHGN","5","Me llegó intacto con batería al 100%",,,,,,,,,,,,,"One person found this helpful","iPhone 13","https://www.amazon.com/gp/customer-reviews/R313DM17LW157J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on November 9, 2022","Service Provider: UnlockedColor: RedSize: 128GB"
"United States",,"2022-05-26","true","177","B09LNFRHGN","5","Simplemente estoy feliz, tengo 3 semanas con el y todo funciona muy bien, me llego en perfectas condiciones está totalmente nuevo sin ni un solo rasguño, la pantalla perfecta parece nuevo de fábrica por más que le busco no encuentro ningún defecto en su exterior.El cargador con el que vino carga demasiado lento así que me compre otro y ahora todo bien.Lo recomiendo sin dudar.",,,,,,,,,,,,,"9 people found this helpful","1000% recomendado","https://www.amazon.com/gp/customer-reviews/R13MSAF5FVW4QP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on May 26, 2022","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States",,"2022-10-26","true","178","B09LNFRHGN","3","the sim card tray was missing otherwise phone works well and a few scratches on screen",,,,,,,,,,,,,"","sim card tray missing","https://www.amazon.com/gp/customer-reviews/RTA8FG2UEK17/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on October 26, 2022","Service Provider: UnlockedColor: MidnightSize: 128GB"
"United States",,"2022-03-22","true","179","B09LNFRHGN","4","This phone is in perfect condition as far as I can tell. The only issue I’ve had so far is I am not able to use Face ID.",,,,,,,,,,,,,"4 people found this helpful","Great phone but Face ID does not work.","https://www.amazon.com/gp/customer-reviews/RGQQ1DPEQSI2E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States on March 22, 2022","Service Provider: UnlockedColor: BlueSize: 128GB"
